condition,family,seed,planner,event_target,route,path_length,route_risk,all_returnable,min_recoverability,mean_recoverability,terminal_recoverability,commitment_loss,maximum_single_step_loss,bottleneck_exposure,fragility_penalty,event_blocks_route,mission_success,objective_value
risk_resilient,open,17,J1_risk,resilient,fragile,36,3.1764391205286873,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,99.52878241057374
risk_resilient,open,17,J2_recoverability,resilient,resilient,36,4.096012546937301,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,True,False,51.120000000000005
risk_resilient,open,17,J3_joint,resilient,fragile,36,3.1764391205286873,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,130.50607970787104
risk_resilient,open,18,J0_shortest,fragile,fragile,36,3.224140318880914,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,36.0
risk_resilient,open,18,J1_risk,fragile,fragile,36,3.224140318880914,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,100.48280637761827
risk_resilient,open,18,J2_recoverability,fragile,resilient,36,4.040881898691913,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,False,True,51.120000000000005
risk_resilient,open,18,J3_joint,fragile,fragile,36,3.224140318880914,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,131.4601036749156
risk_resilient,open,19,J0_shortest,fragile,fragile,36,3.213747784914721,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,36.0
risk_resilient,open,19,J1_risk,fragile,fragile,36,3.213747784914721,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,100.27495569829442
risk_resilient,open,19,J2_recoverability,fragile,resilient,36,4.0824151606536025,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,False,True,51.120000000000005
risk_resilient,open,19,J3_joint,fragile,fragile,36,3.213747784914721,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,131.25225299559173
risk_resilient,open,20,J0_shortest,none,fragile,36,3.171797799028003,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,36.0
risk_resilient,open,20,J1_risk,none,fragile,36,3.171797799028003,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,99.43595598056007
