cell_id_cov,row_cov,col_cov,center_x_cov,center_z_cov,covered,idx,cell_id_unc,row_unc,col_unc,center_x_unc,center_z_unc,feature_density_norm,uncertainty,priority
670,21,19,-4.0463482786254446,-11.832993293053043,1,670,670,21,19,-4.0463482786254446,-11.832993293053043,0.0,1.0,0.5
672,21,21,-2.046348278625445,-11.832993293053043,1,672,672,21,21,-2.046348278625445,-11.832993293053043,0.0,1.0,0.5
673,21,22,-1.0463482786254446,-11.832993293053043,1,673,673,21,22,-1.0463482786254446,-11.832993293053043,0.0,1.0,0.5
674,21,23,-0.0463482786254445,-11.832993293053043,0,674,674,21,23,-0.0463482786254445,-11.832993293053043,0.0,1.0,1.5
675,21,24,0.9536517213745554,-11.832993293053043,0,675,675,21,24,0.9536517213745554,-11.832993293053043,0.0,1.0,1.5
676,21,25,1.9536517213745557,-11.832993293053043,0,676,676,21,25,1.9536517213745557,-11.832993293053043,0.0,1.0,1.5
677,21,26,2.9536517213745554,-11.832993293053043,0,677,677,21,26,2.9536517213745554,-11.832993293053043,0.0,1.0,1.5
678,21,27,3.953651721374555,-11.832993293053043,0,678,678,21,27,3.953651721374555,-11.832993293053043,0.0,1.0,1.5
679,21,28,4.9536517213745554,-11.832993293053043,0,679,679,21,28,4.9536517213745554,-11.832993293053043,0.0,1.0,1.5
680,21,29,5.9536517213745554,-11.832993293053043,0,680,680,21,29,5.9536517213745554,-11.832993293053043,0.0,1.0,1.5
681,21,30,6.9536517213745554,-11.832993293053043,0,681,681,21,30,6.9536517213745554,-11.832993293053043,0.0,1.0,1.5
682,22,0,-23.046348278625445,-10.832993293053043,0,682,682,22,0,-23.046348278625445,-10.832993293053043,0.0,1.0,1.5
683,22,1,-22.046348278625445,-10.832993293053043,0,683,683,22,1,-22.046348278625445,-10.832993293053043,0.0,1.0,1.5
684,22,2,-21.046348278625445,-10.832993293053043,0,684,684,22,2,-21.046348278625445,-10.832993293053043,0.0,1.0,1.5
685,22,3,-20.046348278625445,-10.832993293053043,0,685,685,22,3,-20.046348278625445,-10.832993293053043,0.0,1.0,1.5
686,22,4,-19.046348278625445,-10.832993293053043,0,686,686,22,4,-19.046348278625445,-10.832993293053043,0.0,1.0,1.5
687,22,5,-18.046348278625445,-10.832993293053043,0,687,687,22,5,-18.046348278625445,-10.832993293053043,0.0,1.0,1.5
688,22,6,-17.046348278625445,-10.832993293053043,0,688,688,22,6,-17.046348278625445,-10.832993293053043,0.0,1.0,1.5
689,22,7,-16.046348278625445,-10.832993293053043,0,689,689,22,7,-16.046348278625445,-10.832993293053043,0.0,1.0,1.5
690,22,8,-15.046348278625445,-10.832993293053043,0,690,690,22,8,-15.046348278625445,-10.832993293053043,0.0,1.0,1.5
691,22,9,-14.046348278625445,-10.832993293053043,0,691,691,22,9,-14.046348278625445,-10.832993293053043,0.0,1.0,1.5
692,22,10,-13.046348278625445,-10.832993293053043,0,692,692,22,10,-13.046348278625445,-10.832993293053043,0.0,1.0,1.5
693,22,11,-12.046348278625445,-10.832993293053043,0,693,693,22,11,-12.046348278625445,-10.832993293053043,0.0,1.0,1.5
694,22,12,-11.046348278625445,-10.832993293053043,0,694,694,22,12,-11.046348278625445,-10.832993293053043,0.0,1.0,1.5
695,22,13,-10.046348278625445,-10.832993293053043,0,695,695,22,13,-10.046348278625445,-10.832993293053043,0.0,1.0,1.5
696,22,14,-9.046348278625445,-10.832993293053043,0,696,696,22,14,-9.046348278625445,-10.832993293053043,0.0,1.0,1.5
697,22,15,-8.046348278625445,-10.832993293053043,0,697,697,22,15,-8.046348278625445,-10.832993293053043,0.0,1.0,1.5
698,22,16,-7.0463482786254446,-10.832993293053043,0,698,698,22,16,-7.0463482786254446,-10.832993293053043,0.0,1.0,1.5
699,22,17,-6.0463482786254446,-10.832993293053043,0,699,699,22,17,-6.0463482786254446,-10.832993293053043,0.0,1.0,1.5
700,22,18,-5.0463482786254446,-10.832993293053043,0,700,700,22,18,-5.0463482786254446,-10.832993293053043,0.0,1.0,1.5
701,22,19,-4.0463482786254446,-10.832993293053043,1,701,701,22,19,-4.0463482786254446,-10.832993293053043,0.0,1.0,0.5
703,22,21,-2.046348278625445,-10.832993293053043,1,703,703,22,21,-2.046348278625445,-10.832993293053043,0.0,1.0,0.5
704,22,22,-1.0463482786254446,-10.832993293053043,0,704,704,22,22,-1.0463482786254446,-10.832993293053043,0.0,1.0,1.5
705,22,23,-0.0463482786254445,-10.832993293053043,0,705,705,22,23,-0.0463482786254445,-10.832993293053043,0.0,1.0,1.5
706,22,24,0.9536517213745554,-10.832993293053043,0,706,706,22,24,0.9536517213745554,-10.832993293053043,0.0,1.0,1.5
707,22,25,1.9536517213745557,-10.832993293053043,0,707,707,22,25,1.9536517213745557,-10.832993293053043,0.0,1.0,1.5
708,22,26,2.9536517213745554,-10.832993293053043,0,708,708,22,26,2.9536517213745554,-10.832993293053043,0.0,1.0,1.5
709,22,27,3.953651721374555,-10.832993293053043,0,709,709,22,27,3.953651721374555,-10.832993293053043,0.0,1.0,1.5
710,22,28,4.9536517213745554,-10.832993293053043,0,710,710,22,28,4.9536517213745554,-10.832993293053043,0.0,1.0,1.5
711,22,29,5.9536517213745554,-10.832993293053043,0,711,711,22,29,5.9536517213745554,-10.832993293053043,0.0,1.0,1.5
712,22,30,6.9536517213745554,-10.832993293053043,0,712,712,22,30,6.9536517213745554,-10.832993293053043,0.0,1.0,1.5
713,23,0,-23.046348278625445,-9.832993293053043,0,713,713,23,0,-23.046348278625445,-9.832993293053043,0.0,1.0,1.5
714,23,1,-22.046348278625445,-9.832993293053043,0,714,714,23,1,-22.046348278625445,-9.832993293053043,0.0,1.0,1.5
715,23,2,-21.046348278625445,-9.832993293053043,0,715,715,23,2,-21.046348278625445,-9.832993293053043,0.0,1.0,1.5
